"id","name","address","city","state","zip_code","phone_number","website","rating","hourly_rate","image","lat","lng","map"
15,"Street Execs Studios","1740 Defoor Pl NW","Atlanta","GA","30318","(678) 337-8212","http://streetexecsstudios.com","4.5",,"https://images.squarespace-cdn.com/content/v1/5b312de49772ae473b239e69/1531789542442-ROPX47J504KJPMM3NXGV/ke17ZwdGBToddI8pDm48kK3svdqmw2prsPjqjcUJoBVZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVGgxn0DEa35dK4t9GT6eHoWmuqrr3mtHJt8vSA1j2ufPD-3CTWZQ124CTRPXn-dnvM/STREETEXEC-LOGO-BLUE.png?format=750w",33.802741,84.421506,"https://batchgeo.com/map/5e366897537789ff433afb760fa9a8da"
5,"Lokey Recording Studios","735 Lambert Dr NE","Atlanta","GA","30324","(678) 687-5858","http://www.lokeyrecordingstudios.com","5.0",,"https://lh5.googleusercontent.com/p/AF1QipMB8BW4xSBc4iKS6QL36NHKm_QdB6_gTU5uP567=w426-h240-k-no",33.812713,84.363888," https://batchgeo.com/map/defec9fcbb1f594ff5706272169eded3"
13,"Bravo Ocean Studios","1040 Boulevard SE","Atlanta","GA","30312","(404) 747-5257","http://www.bravooceanstudios.com","5.0","$50-$85/hr","https://lh5.googleusercontent.com/p/AF1QipPdAPKWjcyeAzrCwzryC69UiZ4lgq1bxjQw9-J_=w180-h180-n-k-no",33.726133,84.367845," https://batchgeo.com/map/b39cd0dd4f717f4fe078df973eab3ea8"
20,"Stankonia Studios","677 Antone St NW","Atlanta","GA","30318","(404) 355-2121","http://stankonia-studios.edan.io","4.9",,"https://scontent-atl3-2.xx.fbcdn.net/v/t1.0-9/101801276_1402491066605481_9095693104505159680_n.jpg?_nc_cat=108&ccb=2&_nc_sid=85a577&_nc_ohc=Xst4lWuWmK0AX-GMMCI&_nc_ht=scontent-atl3-2.xx&oh=f405af9b2254956eb70be2f47041eb0c&oe=5FD495C7",33.798397,84.410448,"https://batchgeo.com/map/9355d17467befb6eac2ec1a2b279d26e"
12,"Solar Sound Studio","1453 Carroll Dr NW","Atlanta","Ga","30318","(678) 973-2295","http://solarstudio.com","4.9","$60-$75/hr","https://lh5.googleusercontent.com/p/AF1QipNSlGWqjgZgm9EGqASp_LmBefY0xI7PM7z60BkE=w180-h180-n-k-no",33.802853,84.435192,"https://batchgeo.com/map/872b77e9e7d2ffa859c3b2bbdc9c2f5b"
19,"Castle Hill Studios","159 Walker St SW","Atlanta","GA","30313","(404) 500-4633","https://www.castlehillstudio.com","4.5",,"https://lh5.googleusercontent.com/p/AF1QipMwLO2nyD2r97lb2hQAGQVZ-1BzQR8ihKQHUtI2=w180-h180-n-k-no",33.750523,84.401,"https://batchgeo.com/map/0b026652525134d56f3783d29177ff4a"
11,"Wonderland Recording Studio","3556 Piedmont Rd NE #301","Atlanta","GA","30305","(251) 610-0016","http://www.wonderlandrecording.com","5.0","$65/hr","https://lh5.googleusercontent.com/p/AF1QipOH2MI71YQkJw0pVJIYU2WgRNyV3jlw0PygNyiy=w180-h180-n-k-no",33.851277,84.379411,"https://batchgeo.com/map/3a692884b8abadd5bbe7c1d9bfbb7d77"
9,"Soul Asylum Studios Atlanta Laboratory","1676 Defoor Cir NW","Atlanta","GA","30318","(404) 991-7081","https://www.soulasylumstudios.com","4.7","$50-$200/hr","https://lh5.googleusercontent.com/p/AF1QipObfi6p6UO4LvwFl0G4sX_ecAZsWJ7niuNn84Dg=w180-h180-n-k-no",33.801068,84.420331," https://batchgeo.com/map/46e4830c67a4777b718f64776350e114"
16,"AMS Studios Atlanta","211 Walker St SW","Atlanta","GA","30313","(470) 717-4134","http://www.amsstudiosatl.com","4.7","$65-$150/hr","https://lh5.googleusercontent.com/p/AF1QipN0MTjfpHnY2FyPWuX41_MU4nNT7h4OULiUioTp=w180-h180-n-k-no",33.749233,84.402165,"https://batchgeo.com/map/eaf2c0f01345ba85d5cf0478564c9c7d"
1,"Atlanta aBs Studios","448 Ralph David Abernathy Blvd #11","Atlanta","GA","30312","(404) 500-4724","http://atlantasbestsoundstudio.com","4.7","$35-$75/hr","https://lh5.googleusercontent.com/p/AF1QipMq6sRDjtqpYR43e1V-l6t9jHg8sHaIHq0Sm-Xz=w180-h180-n-k-no",33.736631,84.402298,"https://batchgeo.com/map/64e154a9369d06ea22c9f28f99b85d30"
23,"COS Mastering ","800 E Ave NE","Atlanta","GA","30312","(404)524-7757","http://cosmastering.com","5.0",,"http://cosmastering.com/wp-content/uploads/cos-mastering-Logo-9.png",33.763329,84.361346,"https://batchgeo.com/map/4f2c1fa6165163c37f55f477b56d0df8"
4,"Deaf Star Recording Studios","741 Lambert Dr NE","Atlanta","GA","30324","(324) 633-3709","Call for more info","4.7",,"https://s3-media0.fl.yelpcdn.com/bphoto/WmFQtTF7BfKcgsZ52qMgXA/ls.jpg",33.812699,84.363983,"https://batchgeo.com/map/83816f362e2b8acadec1c3748611bf3a"
